Source,Source Label,Target,Target Label,Type
687,CASE OF A. v. CROATIA,480,CASE OF ZARB ADAMI v. MALTA,Directed
687,CASE OF A. v. CROATIA,2362,CASE OF X AND Y v. THE NETHERLANDS,Directed
687,CASE OF A. v. CROATIA,1351,CASE OF SELMOUNI v. FRANCE,Directed
687,CASE OF A. v. CROATIA,1884,CASE OF SANDRA JANKOVIĆ v. CROATIA,Directed
687,CASE OF A. v. CROATIA,2129,CASE OF ORŠUŠ AND OTHERS v. CROATIA,Directed
687,CASE OF A. v. CROATIA,2082,CASE OF OPUZ v. TURKEY,Directed
687,CASE OF A. v. CROATIA,2209,CASE OF NIKOLOVA AND VELICHKOVA v. BULGARIA,Directed
687,CASE OF A. v. CROATIA,1489,CASE OF MUBILANZILA MAYEKA AND KANIKI MITUNGA v. BELGIUM,Directed
687,CASE OF A. v. CROATIA,213,CASE OF MIKULIĆ v. CROATIA,Directed
687,CASE OF A. v. CROATIA,2102,CASE OF M.C. v. BULGARIA,Directed
687,CASE OF A. v. CROATIA,121,CASE OF HUGH JORDAN v. THE UNITED KINGDOM,Directed
687,CASE OF A. v. CROATIA,1710,CASE OF HANDYSIDE v. THE UNITED KINGDOM,Directed
687,CASE OF A. v. CROATIA,2211,CASE OF D.P. & J.C. v. THE UNITED KINGDOM,Directed
687,CASE OF A. v. CROATIA,1560,CASE OF COSTELLO-ROBERTS v. THE UNITED KINGDOM,Directed
687,CASE OF A. v. CROATIA,1268,CASE OF BRANKO TOMAŠIĆ AND OTHERS v. CROATIA,Directed
687,CASE OF A. v. CROATIA,1629,CASE OF BEVACQUA AND S. v. BULGARIA,Directed
687,CASE OF A. v. CROATIA,1708,CASE OF BEGANOVIĆ v. CROATIA,Directed
687,CASE OF A. v. CROATIA,652,CASE OF ATALAY v. TURKEY,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,215,CASE OF Z AND OTHERS v. THE UNITED KINGDOM,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,2114,CASE OF WAITE AND KENNEDY v. GERMANY,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,1320,CASE OF PRINCE HANS-ADAM II OF LIECHTENSTEIN v. GERMANY,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,1606,CASE OF McVICAR v. THE UNITED KINGDOM,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,1446,CASE OF McELHINNEY v. IRELAND,Directed
1564,CASE OF A. v. THE UNITED KINGDOM,452,CASE OF JERUSALEM v. AUSTRIA,Directed
