Source,Source Label,Target,Target Label,Type
625,CASE OF ALTUN v. TURKEY,757,CASE OF MENTEŞ AND OTHERS v. TURKEY,Directed
625,CASE OF ALTUN v. TURKEY,165,CASE OF YÖYLER v. TURKEY,Directed
625,CASE OF ALTUN v. TURKEY,713,CASE OF SELÇUK AND ASKER v. TURKEY,Directed
377,CASE OF ALEKSEYEV AND OTHERS v. RUSSIA,350,CASE OF KOZAK v. POLAND,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,293,CASE OF KRYVITSKA AND KRYVITSKYY v. UKRAINE,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,569,CASE OF ORLIC v. CROATIA,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,305,CASE OF YORDANOVA AND OTHERS v. BULGARIA,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,587,CASE OF PROKOPOVICH v. RUSSIA,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,725,CASE OF YEVGENIY ZAKHAROV v. RUSSIA,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,109,CASE OF LUSHKIN AND OTHERS v. RUSSIA,Directed
524,CASE OF HASANALI ALIYEV AND OTHERS v. AZERBAIJAN,647,CASE OF SADOVYAK v. UKRAINE,Directed
521,CASE OF VRZIĆ v. CROATIA,379,CASE OF PAULIC v. CROATIA,Directed
521,CASE OF VRZIĆ v. CROATIA,552,CASE OF ĆOSIĆ v. CROATIA,Directed
521,CASE OF VRZIĆ v. CROATIA,569,CASE OF ORLIC v. CROATIA,Directed
521,CASE OF VRZIĆ v. CROATIA,526,CASE OF ROUSK v. SWEDEN,Directed
521,CASE OF VRZIĆ v. CROATIA,430,CASE OF BJEDOV v. CROATIA,Directed
521,CASE OF VRZIĆ v. CROATIA,765,CASE OF BREŽEC v. CROATIA,Directed
521,CASE OF VRZIĆ v. CROATIA,509,CASE OF ZEHENTNER v. AUSTRIA,Directed
521,CASE OF VRZIĆ v. CROATIA,498,CASE OF McCANN v. THE UNITED KINGDOM,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,379,CASE OF PAULIC v. CROATIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,293,CASE OF KRYVITSKA AND KRYVITSKYY v. UKRAINE,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,552,CASE OF ĆOSIĆ v. CROATIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,710,CASE OF CONNORS v. THE UNITED KINGDOM,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,526,CASE OF ROUSK v. SWEDEN,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,430,CASE OF BJEDOV v. CROATIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,689,CASE OF WINTERSTEIN AND OTHERS v. FRANCE [Extracts],Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,765,CASE OF BREŽEC v. CROATIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,728,CASE OF GLADYSHEVA v. RUSSIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,305,CASE OF YORDANOVA AND OTHERS v. BULGARIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,478,CASE OF KAY AND OTHERS v. THE UNITED KINGDOM,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,509,CASE OF ZEHENTNER v. AUSTRIA,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,717,CASE OF BUCKLEY v. THE UNITED KINGDOM,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,580,CASE OF CHAPMAN v. THE UNITED KINGDOM,Directed
633,CASE OF IVANOVA AND CHERKEZOV v. BULGARIA,587,CASE OF PROKOPOVICH v. RUSSIA,Directed
